sha,author,author_login,message,date,hour_of_day,day_of_week,additions,deletions,total_changes,files_changed
94de2eb,Rob Lourens,roblourens,agentHost: fix Copilot real-SDK replay test (#322837)  Agent Host: fix Copilot real-SDK subagent replay test  Route chat assertions through the defaul,2026-06-24 22:43:26+00:00,22,Wednesday,19,13,32,32
d2ac9ad,Connor Peet,connor4312,"agent host: model client connection state as a discriminated union (#322832)  `IClientRecord` previously carried `connections`, `lastSeenAt`, and `dis",2026-06-24 22:12:49+00:00,22,Wednesday,115,62,177,177
99caaa3,Tyler James Leonhardt,TylerLeonhardt,agentHost: implement Claude session fork (Phase 6.5) (#322828)  * agentHost: implement Claude session fork (Phase 6.5)  Implements `ClaudeAgent.create,2026-06-24 22:09:43+00:00,22,Wednesday,719,53,772,772
fb234de,Paul,pwang347,Use max output context for output buffer (#322648),2026-06-24 21:59:15+00:00,21,Wednesday,8,5,13,13
fa88bce,Ben Villalobos,benvillalobos,Document OSS NOTICE cutover (#322827),2026-06-24 21:56:44+00:00,21,Wednesday,64,23,87,87
2aa9cbe,BeniBenj,benibenj,context key fix,2026-06-24 21:38:04+00:00,21,Wednesday,3,3,6,6
d05410c,Sandeep Somavarapu,sandy081,clean up (#322825),2026-06-24 21:35:12+00:00,21,Wednesday,2,2,4,4
8270e9e,Rob Lourens,roblourens,agentHost: filter local AHP actions by subscription (#322804)  * agentHost: filter local AHP actions by subscription  Filter local AHP action delivery,2026-06-24 21:18:52+00:00,21,Wednesday,84,16,100,100
b094a73,Ladislau Szomoru,lszomoru,AgentHost - disable changeset operations while a session is in progress (#322823),2026-06-24 21:11:18+00:00,21,Wednesday,204,13,217,217
adc7ecf,Sandeep Somavarapu,sandy081,"sessions: responsive auto-collapse of the sessions sidebar (D7) (#322819)  On a narrow Agents window, auto-hide the sessions sidebar while both the ed",2026-06-24 21:09:52+00:00,21,Wednesday,446,47,493,493
54f316d,Paul,pwang347,Fix context size handling for Agent Host (#322470),2026-06-24 21:00:53+00:00,21,Wednesday,258,69,327,327
e4e5ed0,Kyle Cutler,kycutler,Browser: support device APIs (#322800)  * Browser: support device APIs  * feedback  * clean,2026-06-24 20:45:36+00:00,20,Wednesday,564,27,591,591
eacf067,Ben Villalobos,benvillalobos,Cut over ThirdPartyNotices to the Component Governance generated notice (#322780)  * Cutover ThirdPartyNotices to CG-generated NOTICE  Add downloadNot,2026-06-24 20:34:38+00:00,20,Wednesday,493,26,519,519
e266aa4,Rob Lourens,roblourens,chat: recover large session clone persistence (#322806)  * chat: protect session deep-clone from V8 max-string-length  PR #319183 wrapped the entry-se,2026-06-24 20:18:25+00:00,20,Wednesday,67,3,70,70
6a8aa19,Sandeep Somavarapu,sandy081,sessions: fork into a new chat for multi-chat agent host sessions (#322799)  * sessions: fork into a new chat for multi-chat agent host sessions  Fork,2026-06-24 20:12:44+00:00,20,Wednesday,713,31,744,744
07532d0,Logan Ramos,lramos15,Support model hover costs for claude and codex harnesses in AH (#322807),2026-06-24 19:49:48+00:00,19,Wednesday,113,63,176,176
b2e2803,Rob Lourens,roblourens,agentHost: Log unhandled Copilot SDK events (#322793)  agentHost: log unhandled Copilot SDK events  Track wrapped Copilot session event listener regis,2026-06-24 19:47:52+00:00,19,Wednesday,87,6,93,93
bd2db63,Martin Aeschlimann,aeschli,Add ICustomizationItemProvider.provideSourceFolders functionality (#322740)  * provideSourceFolders  * simplify resolveTargetDirectoryWithPicker  * us,2026-06-24 19:36:48+00:00,19,Wednesday,430,173,603,603
08b4ec4,Ralph Feltis,rfeltis,Add quota checkpoint to notification telemetry (#322767)  * Add quota checkpoint to notification telemetry  Co-authored-by: Copilot <223556219+Copilot,2026-06-24 19:18:00+00:00,19,Wednesday,23,5,28,28
e712e5f,Connor Peet,connor4312,Merge pull request #322665 from microsoft/connor/agent-host-multi-active-client  agentHost: support multiple active clients per session,2026-06-24 19:08:02+00:00,19,Wednesday,1395,587,1982,1982
c933bdf,Logan Ramos,lramos15,Fix EDU upgrade nudge (#322778)  * Fix EDU upgrade nudge  * fix,2026-06-24 18:59:27+00:00,18,Wednesday,26,3,29,29
8c3008e,Sandeep Somavarapu,sandy081,sessions: split per-session layout controller by platform; refine maximize & changes behavior (#322789)  sessions: split per-session layout controller,2026-06-24 18:42:34+00:00,18,Wednesday,1690,983,2673,2673
cd1261d,Benjamin Christopher Simmonds,benibenj,onboarding: gate experiment assignment-context id until would-show (#322777)  * onboarding: gate experiment assignment-context id until would-show  On,2026-06-24 18:29:32+00:00,18,Wednesday,571,84,655,655
77f0f64,Tyler James Leonhardt,TylerLeonhardt,Claude agent host: surface user/workspace native plugins in customizations (Phase 17B) (#322766)  * Claude agent host: surface user/workspace native p,2026-06-24 18:29:24+00:00,18,Wednesday,1111,39,1150,1150
0bad316,Connor Peet,connor4312,Merge remote-tracking branch 'origin/main' into connor/agent-host-multi-active-client  # Conflicts: #	src/vs/workbench/contrib/chat/browser/agentSessi,2026-06-24 18:21:18+00:00,18,Wednesday,2431,440,2871,2871
a61ad46,Don Jayamanne,DonJayamanne,feat(chat): implement AgentHostSessionListStore for managing agent-host sessions (#322333)  * feat(chat): implement AgentHostSessionListStore for mana,2026-06-24 18:20:39+00:00,18,Wednesday,699,408,1107,1107
65d9832,Vijay Upadya,vijayupadya,Add model managed setting and make it default for new conversations (#322669)  * Add model managed setting and make it default for new conversations  ,2026-06-24 18:16:40+00:00,18,Wednesday,368,25,393,393
ccaabd4,Benjamin Christopher Simmonds,benibenj,Merge pull request #322783 from microsoft/benibenj/enormous-silkworm  CONTEXT KEYS CLEANUP,2026-06-24 18:11:18+00:00,18,Wednesday,236,218,454,454
479a498,BeniBenj,benibenj,CONTEXT KEYS CLEANUP,2026-06-24 17:51:11+00:00,17,Wednesday,236,218,454,454
d3e7ccc,vs-code-engineering[bot],vs-code-engineering[bot],fix: AsyncIterableSource emit after resolve throws TypeError (fixes #322752) (#322759)  fix: keep AsyncIterableSource emit a no-op after resolve (fixe,2026-06-24 17:20:40+00:00,17,Wednesday,10,6,16,16
7813158,Josh Spicer,joshspicer,agents: remove redundant text mcp policy e7ff5829 (#322568)  Agent Host changes for agents/remove-redundant-text-mcp-policy-e7ff5829,2026-06-24 17:16:22+00:00,17,Wednesday,2,2,4,4
7ce8f0e,vs-code-engineering[bot],vs-code-engineering[bot],fix: avoid stack overflow when aggregating diagnostics (fixes #322753) (#322758)  Co-authored-by: vs-code-engineering[bot] <122617954+vs-code-engineer,2026-06-24 17:09:57+00:00,17,Wednesday,1,1,2,2
fcff1a7,Logan Ramos,lramos15,Emit subagent usage into parent usage (#322761)  * Emit subagent usage into parent usage  * fix comments,2026-06-24 16:55:03+00:00,16,Wednesday,125,15,140,140
3e7b249,John Murray,gjsjohnmurray,:lipstick: correct command capitalization in /causedByExtension response (#298925)  Co-authored-by: Dmitriy Vasyura <dmitriv@microsoft.com>,2026-06-24 16:47:01+00:00,16,Wednesday,1,1,2,2
63ba2ff,Dmitriy Vasyura,dmitrivMS,Add Tools to Chat Customizations (#322620),2026-06-24 16:45:15+00:00,16,Wednesday,1616,106,1722,1722
c8233c5,Courtney Webster,cwebster-99,Merge pull request #322724 from microsoft/cwebster-99-experiment-timing-risk  Enable experiments for post update info,2026-06-24 16:22:38+00:00,16,Wednesday,1,0,1,1
53b86cf,Logan Ramos,lramos15,Remove chat status entry spinner (#322725),2026-06-24 16:18:41+00:00,16,Wednesday,1,29,30,30
c57b733,Megan Rogge,meganrogge,"Use StorageService for mic device selection, show error on permission denied (#322621)",2026-06-24 16:10:03+00:00,16,Wednesday,68,36,104,104
68f44c5,Lee Murray,mrleemurray,Hide input status container when empty or has no actions (#322737)  chat: hide input status container when empty or has no actions  Co-authored-by: mr,2026-06-24 16:08:57+00:00,16,Wednesday,2,1,3,3
3045944,Connor Peet,connor4312,Merge remote-tracking branch 'origin/main' into connor/agent-host-multi-active-client  # Conflicts: #	src/vs/platform/agentHost/node/copilot/copilotAg,2026-06-24 16:08:03+00:00,16,Wednesday,7102,1320,8422,8422
9c64465,Benjamin Christopher Simmonds,benibenj,sessions: show last-known PR icon instantly from a persistent cache (#322743)  Agent-host sessions previously showed no PR status icon on startup unti,2026-06-24 15:56:47+00:00,15,Wednesday,243,2,245,245
71292ea,Alex Ross,alexr00,Try fix Copilot CLI editor flake (#322722)  * Try fix Copilot CLI editor flake  * Smoke test probes  * Remove probe,2026-06-24 15:56:43+00:00,15,Wednesday,45,1,46,46
50b7e69,Giuseppe Cianci,Giuspepe,Merge pull request #322733 from microsoft/giuspepe/codex-agent-enabled-exp  Allow chat.agentHost.codexAgent.enabled to be overridden by experiment,2026-06-24 15:56:20+00:00,15,Wednesday,4,0,4,4
9c5151a,Sandeep Somavarapu,sandy081,"Revert ""sessions: remove close button on the inline editor part (#322643)"" (#322736)  This reverts commit 907ed332013a8afba81b568da3fdb371b9c396ce.",2026-06-24 15:47:15+00:00,15,Wednesday,30,1,31,31
b99aeda,Henning Dieterichs,hediet,fixes missing font file in monaco-editor (#322735),2026-06-24 15:47:01+00:00,15,Wednesday,2,2,4,4
830ba74,Ladislau Szomoru,lszomoru,"AgentHost - add the ""Sync Changes"" action into the Files view (#322734)",2026-06-24 15:46:43+00:00,15,Wednesday,14,1,15,15
6e47042,Logan Ramos,lramos15,Fix auto not being properly promoted (#322726),2026-06-24 15:46:13+00:00,15,Wednesday,1,1,2,2
99b8bac,Giuseppe Cianci,Giuspepe,Allow chat.agentHost.codexAgent.enabled to be overridden by experiment  Adds experiment: { mode: 'startup' } to chat.agentHost.codexAgent.enabled so i,2026-06-24 14:52:01+00:00,14,Wednesday,4,0,4,4
352173c,Lee Murray,mrleemurray,"Style override for rounded sidebar and panel (#322712)  styleOverrides: round side bar/panel/aux bar and inset part title label  Round the side bar, p",2026-06-24 14:51:04+00:00,14,Wednesday,18,0,18,18
1c0b4be,Anthony Kim,anthonykim1,Bump Copilot CLI SDK packages to 1.0.64-1 / 1.0.3 (#322645)  * Bump Copilot CLI packages to @github/copilot@1.0.64-1 and @github/copilot-sdk@1.0.3  * ,2026-06-24 13:47:26+00:00,13,Wednesday,815,423,1238,1238
86d2345,cwebster-99,cwebster-99,Enable experiment rollout for post update info  Allow update.showPostInstallInfo to be controlled by configuration experiments using auto mode so the ,2026-06-24 13:44:02+00:00,13,Wednesday,1,0,1,1
023da98,Benjamin Christopher Simmonds,benibenj,agents: enhance session icon status handling ab3f334e (#322707)  Agent Host changes for agents/enhance-session-icon-status-handling-ab3f334e,2026-06-24 12:21:09+00:00,12,Wednesday,48,16,64,64
d05ede2,Sandeep Somavarapu,sandy081,sessions: consistent secondary-button pills for session header meta actions (#322704)  * sessions: render session header meta actions as consistent se,2026-06-24 11:52:16+00:00,11,Wednesday,311,117,428,428
693c4e1,Sandeep Somavarapu,sandy081,sessions: gate titlebar new-session button behind experiment + add telemetry (#322689)  * Gate titlebar new-session button behind A/B experiment + add,2026-06-24 11:52:12+00:00,11,Wednesday,55,34,89,89
57a6f50,Henning Dieterichs,hediet,Sets markdown editor as default editor for markdown files in the agents window. (#322703),2026-06-24 10:50:00+00:00,10,Wednesday,1,1,2,2
de07516,Alexandru Dima,alexdima,"smoke: add remote server process exit diagnostics (#322697)  Remote smoke tests intermittently fail with ""Cannot reconnect. Please reload the window.""",2026-06-24 10:47:37+00:00,10,Wednesday,76,2,78,78
d416fdd,Henning Dieterichs,hediet,uses kind instead of constructor.name to make tests work with esbuild. (#322698),2026-06-24 10:26:52+00:00,10,Wednesday,11,11,22,22
4b76d6b,Alex Ross,alexr00,Enable second reply on chat session smoke test (#322690)  * Unskip second round of chat session Copilot CLI  * Add flakiness probe for chat session Co,2026-06-24 10:26:12+00:00,10,Wednesday,1,1,2,2
7219f04,Alexandru Dima,alexdima,"Rename ""GitHub Copilot Chat"" extension to ""GitHub Copilot"" (#322683)  Agent Host changes for agents/rename-github-copilot-chat-12677b65",2026-06-24 10:18:57+00:00,10,Wednesday,1,1,2,2
b1de8f3,Martin Aeschlimann,aeschli,Remove harness selector setting from AI Customizations (#322681)  * Remove harness selector setting from AI Customizations and related configurations ,2026-06-24 09:22:09+00:00,9,Wednesday,4,128,132,132
337ba89,Anthony Kim,anthonykim1,Hide agent host tip if user manual selects via picker (#322667),2026-06-24 09:01:01+00:00,9,Wednesday,87,1,88,88
8d5908d,Justin Chen,justschen,"super serious PR involving fish (#321252)  * super serious PR involving fish  * add streaks  * Address PR feedback: fix sessions service import, cente",2026-06-24 06:52:26+00:00,6,Wednesday,486,6,492,492
7b91f5f,Don Jayamanne,DonJayamanne,Implement rebaseUnder function and enhance customization anchoring in CopilotAgent (#322661)  * Implement rebaseUnder function and enhance customizati,2026-06-24 04:16:17+00:00,4,Wednesday,258,11,269,269
e719715,Connor Peet,connor4312,agentHost: support multiple active clients per session  Adopt the agent host protocol update that moves from a single active client per session to mul,2026-06-24 03:31:31+00:00,3,Wednesday,1393,585,1978,1978
33a3fa9,Justin Chen,justschen,AH: use plan widget instead of questions carousel when exiting plan mode (#322495)  * AH: use plan widget instead of questions carousel when exiting p,2026-06-24 02:54:19+00:00,2,Wednesday,576,45,621,621
cb23bd7,dileepyavan,dileepyavan,Treat sandbox missing file errors as access failures (#322660),2026-06-24 02:51:12+00:00,2,Wednesday,17,2,19,19
1562be7,Sandeep Somavarapu,sandy081,sessions: add 'Run VS Code (Web)' agents window task (#322652)  Add 'Run VS Code (Web)' agents window task  Co-authored-by: Copilot <223556219+Copilot,2026-06-24 02:51:01+00:00,2,Wednesday,29,0,29,29
3b1bd0b,Justin Chen,justschen,make sure layout accounts for agents window padding (#322659),2026-06-24 02:26:50+00:00,2,Wednesday,16,2,18,18
2ad87ec,Sandeep Somavarapu,sandy081,sessions: do not auto-open the side pane for existing sessions (#322636)  The layout controller no longer opens the auxiliary bar (side pane) automati,2026-06-24 01:00:19+00:00,1,Wednesday,66,159,225,225
381f91a,Paul,pwang347,Handle null credits (#322653),2026-06-24 00:51:16+00:00,0,Wednesday,4,3,7,7
907ed33,Sandeep Somavarapu,sandy081,sessions: remove close button on the inline editor part (#322643)  Removes the Close Editor Area action from the in-grid editor part's title toolbar (,2026-06-24 00:32:41+00:00,0,Wednesday,1,30,31,31
67aea9c,Kyle Cutler,kycutler,Support browser permissions (#322639)  * Support browser permissions  * feedback,2026-06-24 00:21:26+00:00,0,Wednesday,1338,16,1354,1354
8e04bfd,Anthony Kim,anthonykim1,Respect terminal auto-approve setting in Agent Host default permissions (#322633)  * Respect terminal auto-approve setting in Agent Host default permi,2026-06-24 00:12:25+00:00,0,Wednesday,115,6,121,121
ea3a084,Sandeep Somavarapu,sandy081,sessions: support background send for a new chat in an existing session (#322642)  * sessions: support background send for a new chat in an existing s,2026-06-24 00:10:21+00:00,0,Wednesday,345,42,387,387
c7741d8,Benjamin Christopher Simmonds,benibenj,Merge pull request #322630 from microsoft/benibenj/local-squirrel  Fix onboarding tour for new session,2026-06-23 23:53:54+00:00,23,Tuesday,440,139,579,579
1ae0b5c,Benjamin Christopher Simmonds,benibenj,Merge pull request #322628 from microsoft/benibenj/quintessential-junglefowl  Add hover support for pull requests,2026-06-23 23:49:19+00:00,23,Tuesday,385,11,396,396
8ea50e4,Tyler James Leonhardt,TylerLeonhardt,Claude agent host: surface user/workspace hooks in customizations (Phase 17A) (#322637)  Scan the hooks block of user/project/local .claude/settings(.,2026-06-23 23:42:07+00:00,23,Tuesday,905,18,923,923
44041c7,Joaquín Ruales,jruales,Browser search enabled by default to match ExP (#322634),2026-06-23 23:31:30+00:00,23,Tuesday,2,2,4,4
072f4db,Benjamin Christopher Simmonds,benibenj,Potential fix for pull request finding  Co-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>,2026-06-23 23:30:09+00:00,23,Tuesday,10,0,10,10
8344055,Benjamin Christopher Simmonds,benibenj,Potential fix for pull request finding  Co-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>,2026-06-23 23:29:34+00:00,23,Tuesday,2,0,2,2
d6e4525,BeniBenj,benibenj,fix,2026-06-23 23:26:55+00:00,23,Tuesday,20,4,24,24
34b6ffa,vs-code-engineering[bot],vs-code-engineering[bot],fix: guard and warn on malformed debugger schema properties in getSchemaAttributes (#322576)  * fix: guard malformed debugger schema property in getSc,2026-06-23 23:18:30+00:00,23,Tuesday,50,3,53,53
27725b9,Sandeep Somavarapu,sandy081,sessions: resolve ${workspaceFolder} in agent-host tasks (#322629)  * sessions: resolve ${workspaceFolder} in agent-host tasks via IConfigurationResol,2026-06-23 23:11:39+00:00,23,Tuesday,328,109,437,437
977caaa,BeniBenj,benibenj,Merge remote-tracking branch 'origin/main' into benibenj/local-squirrel  # Conflicts: #	src/vs/sessions/contrib/sessions/browser/media/sessionsViewPan,2026-06-23 23:04:15+00:00,23,Tuesday,9065,1673,10738,10738
cf7e43e,Martin Aeschlimann,aeschli,apply review comments (#322555),2026-06-23 23:02:05+00:00,23,Tuesday,9,8,17,17
468a051,Ladislau Szomoru,lszomoru,Agents - fix bug with operations not being shown for Last Turn Changes (#322631),2026-06-23 22:44:00+00:00,22,Tuesday,1,1,2,2
fc03e33,Megan Rogge,meganrogge,Fix voice transcript overlay persisting across session switches (#322615),2026-06-23 22:20:55+00:00,22,Tuesday,12,1,13,13
2addbe5,Sandeep Somavarapu,sandy081,sessions: show New Session button in titlebar when sidebar is hidden (#322614)  * sessions: show New Session button in titlebar when sidebar is hidden,2026-06-23 22:19:16+00:00,22,Tuesday,289,168,457,457
aa0015f,BeniBenj,benibenj,PR hover,2026-06-23 22:16:38+00:00,22,Tuesday,369,11,380,380
5cfeac3,Megan Rogge,meganrogge,"Voice mode: cleaner narration, Copilot-session responses, and button position (#322613)",2026-06-23 21:46:40+00:00,21,Tuesday,86,11,97,97
7dacbbb,Megan Rogge,meganrogge,Remove voice mode aux window (#322608),2026-06-23 21:30:37+00:00,21,Tuesday,5,108,113,113
cebc749,Tyler James Leonhardt,TylerLeonhardt,"agentHost: revert reserved integration id change; tag Codex proxy with vscode_codex UA (#322600)  * Revert ""Merge pull request #321964 from microsoft/",2026-06-23 21:28:04+00:00,21,Tuesday,246,16,262,262
9955472,BeniBenj,benibenj,new session tour fixes,2026-06-23 21:21:48+00:00,21,Tuesday,430,139,569,569
185495a,Logan Ramos,lramos15,Allow passing the server responded model through usage for Auto (#322595),2026-06-23 21:20:33+00:00,21,Tuesday,32,3,35,35
0cf80df,Ladislau Szomoru,lszomoru,AgentHost - store pull request information on the server (#322607)  * Initial implementation  * Split summary/session _meta information  * Pull reques,2026-06-23 21:02:05+00:00,21,Tuesday,485,102,587,587
488475a,Connor Peet,connor4312,chat: show active session MCP status (#322606)  * chat: show active session MCP status  Reflect active agent-host MCP server state in the Customizatio,2026-06-23 21:01:18+00:00,21,Tuesday,381,100,481,481
6d2d406,Anthony Kim,anthonykim1,Add mute button for local agent host continuation tip (#322599)  * Add mute button for local agent host continuation tip  * changes  * DOnt change wor,2026-06-23 20:25:31+00:00,20,Tuesday,117,5,122,122
0cd0e6f,Megan Rogge,meganrogge,Voice chat input fixes (#322589),2026-06-23 20:01:07+00:00,20,Tuesday,141,40,181,181
303fa03,Tyler James Leonhardt,TylerLeonhardt,Fix flaky ClaudeCustomizationWatcher debounce tests (#322601),2026-06-23 19:58:44+00:00,19,Tuesday,22,10,32,32
e816be7,Ben Villalobos,benvillalobos,Fix false partiallySucceeded in CG NOTICE pipeline (#322472)  * Fix false partiallySucceeded in CG NOTICE pipeline  Gate the cache-restore DownloadPip,2026-06-23 19:45:31+00:00,19,Tuesday,330,17,347,347
d2892d5,Benjamin Christopher Simmonds,benibenj,sessions: contribute PR pill as session header meta toolbar action (#322581)  * sessions: contribute PR pill as session header meta toolbar action  Th,2026-06-23 19:38:00+00:00,19,Tuesday,410,107,517,517
9a2c9f3,Benjamin Christopher Simmonds,benibenj,sessions: add CI failures and created-comments banners above the chat input (#322578)  * sessions: add CI failures and created-comments banners above ,2026-06-23 19:37:25+00:00,19,Tuesday,687,1,688,688
6361607,Tyler James Leonhardt,TylerLeonhardt,Use provider-specific icons for agent host sessions (#322597)  The agent host session handler and list controller hardcoded `Codicon.copilot` for the ,2026-06-23 19:32:24+00:00,19,Tuesday,5,5,10,10
e8298bc,Connor Peet,connor4312,sessions: move remote connections toggle to titlebar (#322592)  Move Remote Connections to the Agents window titlebar while keeping the main editor ch,2026-06-23 19:31:45+00:00,19,Tuesday,268,177,445,445
f7b60de,Connor Peet,connor4312,chat: use plugin labels for plugin-scoped slash commands (#322590)  - Uses plugin display labels to keep slash command names stable for plugin items i,2026-06-23 19:30:40+00:00,19,Tuesday,132,30,162,162
48dd21f,Paul,pwang347,Readd legacy support for cloud model picker prices (#322011),2026-06-23 18:49:50+00:00,18,Tuesday,37,3,40,40
0035fb2,Ulugbek Abdullaev,ulugbekna,nes: track originating model patch for streamed edits (#322573)  PR #322438 allowed splitting one model-sent diff-patch into multiple LineReplacements,2026-06-23 18:49:29+00:00,18,Tuesday,284,14,298,298
754537e,Lee Murray,mrleemurray,Bump codicons version and add voiceModeCompact icon (#322562)  bump codicons version to 0.0.46-21 and add voiceModeCompact icon  Co-authored-by: mrlee,2026-06-23 18:24:02+00:00,18,Tuesday,11,10,21,21
aaf5994,Justin Chen,justschen,fix editor container overflow (#322588),2026-06-23 18:23:12+00:00,18,Tuesday,4,0,4,4
914d836,Bhavya U,bhavyaus,Wire up browser tool_instructions for agent host prompts (#322585)  * Wire up browser tool_instructions for agent host prompts  * Document agent host ,2026-06-23 17:52:46+00:00,17,Tuesday,259,85,344,344
5b839e0,Henning Dieterichs,hediet,Updates markdown editor (#322577)  * updates markdown editor  * fixes class names,2026-06-23 17:40:07+00:00,17,Tuesday,7,7,14,14
471e60b,Lee Murray,mrleemurray,Refactor floating panels layout for improved edge ownership (#322543)  * Enhance floating panels layout: add outer margins for sidebars and editors  C,2026-06-23 17:18:50+00:00,17,Tuesday,205,20,225,225
20b1752,Benjamin Christopher Simmonds,benibenj,Add session grouping support to the sessions list (#322554)  * Add session grouping support to the sessions list  Co-authored-by: Copilot <223556219+C,2026-06-23 17:02:31+00:00,17,Tuesday,1244,46,1290,1290
2858f2c,Megan Rogge,meganrogge,add command to run to setting description (#322569)  add command to run,2026-06-23 16:46:13+00:00,16,Tuesday,1,1,2,2
c521ed9,Benjamin Christopher Simmonds,benibenj,sessions: add pull request pill to session header (#322553)  Surface a clickable #<number> pill in the session header meta row when a session is assoc,2026-06-23 16:38:32+00:00,16,Tuesday,314,2,316,316
51bd587,Don Jayamanne,DonJayamanne,Enhance chat model to support legacy model configuration format and update tests for backward compatibility (#322515)  * Enhance chat model to support,2026-06-23 16:16:15+00:00,16,Tuesday,62,7,69,69
